Project ID,Project Name,Contractor,Budget (M EGP),Committed (M EGP),Paid (M EGP),Forecast Cost (M EGP),Planned Progress %,Actual Progress %,Delay Days,Open VOs,VO Value (M EGP),Open Risks,Status
P001,Spring Valley,Redcon Spain,950,820,610,980,72,66,18,2,20.7,3,Active
P002,Club Residence,SCAD,420,390,320,425,80,78,5,1,4.6,1,Active
P003,Tulwa Villas,Constructive,680,550,410,710,55,50,22,1,15,2,Active
P004,Whyt Compound,Curve,510,480,430,525,88,82,12,1,6.8,1,Active
P005,Core Buildings,Innovo,1200,750,360,1240,35,31,25,2,22,4,Active
P006,Business Park,Hassan Allam,380,240,150,390,42,30,8,1,5.4,2,Active
P007,Community Center,Orascom Construction,220,180,120,225,61,65,0,1,3.2,0,Active
P008,Main Gate,Innovo,65,58,30,67,25,22,10,0,0,1,Active
P009,Infrastructure Zone A,Shaker,310,305,290,312,95,96,0,1,7.1,0,Closing
P010,Infrastructure Zone B,Archirodon,430,380,250,445,67,63,15,1,9.7,2,Active
P011,CAP Zone A,Innovo,180,145,80,190,28,24,20,2,12.5,3,Active
P012,CAP Zone B,Innovo,210,170,90,220,30,27,14,1,8.3,2,Active
P013,Sports Club,Redcon Spain,340,280,180,355,52,48,11,2,10.1,2,Active
P014,Retail Center,SCAD,275,210,140,285,44,46,0,0,0,1,Active
P015,School Complex,Constructive,520,410,260,535,63,59,9,1,6.2,2,Active
P016,Hospital Zone,Hassan Allam,760,610,390,785,58,54,13,2,16.5,3,Active
P017,Hotel District,Archirodon,890,710,450,925,47,43,17,2,18.2,4,Active
P018,Service Buildings,Curve,145,120,75,148,69,72,0,0,0,0,Active
P019,Landscape Phase 1,Shaker,95,85,65,97,81,77,6,1,2.1,1,Active
P020,Utilities Network,Orascom Construction,610,520,350,630,74,70,8,2,11.3,2,Active
